"FilingID","Full Legal Name","CIK Number"
"732494","EVERCORE PARTNERS INC.","1360901"
"736075","INVESCO LTD.","914208"
"736862","NATIONAL WESTMINSTER BANK PLC","702162"
"736862","THE ROYAL BANK OF SCOTLAND GROUP","844150"
"736894","NATIONAL WESTMINSTER BANK PLC","702162"
"736894","THE ROYAL BANK OF SCOTLAND GROUP","844150"
"736711","BLACKROCK, INC.","1364742"
"736449","BLACKROCK, INC.","1364742"
"736696","BLACKROCK, INC.","1364742"
"736680","BLACKROCK, INC.","1364742"
"737939","JONES LANG LASALLE INCORPORATED","1037956"
"737940","JONES LANG LASALLE INCORPORATED","1037956"
"738459","DEUTSCHE BANK AG","948046"
"739177","DEUTSCHE BANK AG","948046"
"739566","UNITED OVERSEAS BANK LIMITED","867530"
"741175","JPMORGAN CHASE & CO.","19617"
"742696","INVESCO LTD.","914208"
"743961","CBRE GROUP, INC","1138118"
"744339","NOMURA HOLDINGS, INC.","1163653"
"745348","CBRE GROUP, INC.","1138118"
"745684","CITIGROUP INC.","831001"
"745684","MORGAN STANLEY","895421"
"746905","BLACKROCK, INC.","1364742"
"746904","BLACKROCK, INC.","1364742"
"748472","CREDIT SUISSE GROUP AG","1159510"
"748772","CREDIT SUISSE GROUP AG","1159510"
"749236","MORGAN STANLEY","895421"
"749258","MORGAN STANLEY","895421"
"750077","NOMURA HOLDINGS, INC.","1163653"
"751461","BLACKROCK, INC.","1364742"
"751327","BLACKROCK, INC.","1364742"
"751300","BLACKROCK, INC.","1364742"
"753243","DEUTSCHE BANK AG","948046"
"753251","DEUTSCHE BANK AG","948046"
"753255","DEUTSCHE BANK AG","948046"
"752442","BANK OF AMERICA CORPORATION","70858"
"756662","DEUTSCHE BANK AG","948046"
"756651","DEUTSCHE BANK AG","948046"
"753844","CREDIT SUISSE GROUP AG","1159510"
"757917","MORGAN STANLEY","895421"
"757933","MORGAN STANLEY","895421"
"756236","BLACKROCK, INC.","1364742"
"761238","THE GOVERNOR AND COMPANY OF THE BANK OF IRELAND","1191638"
"761797","JPMORGAN CHASE & CO.","19517"
"761905","JPMORGAN CHASE & CO.","19617"
"763722","HSBC HOLDINGS PLC","1089113"
"765215","BROOKFIELD ASSET MANAGEMENT INC.","10010085"
"764450","HSBC HOLDINGS PLC","1089113"
"757683","BLACKROCK, INC.","1364742"
"757987","BLACKROCK, INC.","1364742"
"767386","WILMINGTON SAVINGS FUND SOCIETY, FSB AS TRUSTEE","828944"
"766725","BLACKROCK, INC.","1364742"
"764227","RESOURCE AMERICA, INC.","83402"
