"FilingID","ReferenceID","Name of Auditing Firm","City","State","Country","Independent","PCAOB Registered","PCAOB Inspected"
"892018","50798","PRICEWATERHOUSE COOPERS CI LLP","GLATEGNY ESPLANADE","","Guernsey","Y","Y","Y"
"892018","50797","PRICEWATERHOUSE COOPERS CI LLP","GLATEGNY ESPLANADE","","Guernsey","Y","Y","Y"
"892018","50793","PRICEWATERHOUSE COOPERS CI LLP","GLATEGNY ESPLANADE","","Guernsey","Y","Y","Y"
"892018","50886","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","26878","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","51123","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","51121","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","51115","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","29150","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","29124","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","30947","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","26933","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","26928","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","59559","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"892018","59557","PRICEWATERHOUSE COOPERS CI LLP","ST. PETER PORT","","Guernsey","Y","Y","Y"
"898580","63991","ERNST & YOUNG","SINGAPORE","","Singapore","Y","Y","Y"
"898580","63996","BAKER TILLEY","GEORGETOWN","","Cayman Islands","Y","Y","Y"
"898580","67430","BAKER TILLEY","GEORGETOWN","","Cayman Islands","Y","Y","Y"
"898580","63993","BAKER TILLY","GEORGETOWN","","Cayman Islands","Y","Y","Y"
"888373","44680","BDO LIMITED","ST HELIER","","Jersey","Y","N",""
"893944","19151","KPMG","GRAND CAYMAN","","Cayman Islands","Y","Y","Y"
"893944","19147","KPMG","GRAND CAYMAN","","Cayman Islands","Y","Y","Y"
"893944","19142","KPMG","GRAND CAYMAN","","Cayman Islands","Y","Y","Y"
"893944","19135","KPMG","GRAND CAYMAN","","Cayman Islands","Y","Y","Y"
"893944","19116","KPMG CHANNEL ISLANDS LIMITED","ST PETER PORT","","Guernsey","Y","N",""
"893944","19106","KPMG CHANNEL ISLANDS LIMITED","ST PETER PORT","","Guernsey","Y","N",""
"893944","19083","KPMG CHANNEL ISLANDS LIMITED","ST PETER PORT","","Guernsey","Y","N",""
"893944","61302","KPMG","GRAND CAYMAN","","Cayman Islands","Y","Y","Y"
"891384","29701","ERNST & YOUNG","BALTIMORE","Maryland","United States","Y","Y","Y"
"891384","29758","ERNST & YOUNG","BALTIMORE","Maryland","United States","Y","Y","Y"
"891384","29749","ERNST & YOUNG","BALTIMORE","Maryland","United States","Y","Y","Y"
"891384","29716","ERNST & YOUNG","BALTIMORE","Maryland","United States","Y","Y","Y"
"895142","57571","KPMG LLP","GREENSBORO","North Carolina","United States","Y","Y","Y"
"895142","57360","DELOITTE AUDIT S.A.R.L.","LUXEMBOURG","","Luxembourg","Y","Y","N"
