"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
"957487","167170","BTIG, LLC","8-65473","122225","SAN FRANCISCO","California","United States","Y"
"956503","167870","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"954608","167679","COWEN PRIME SERVICES LLC","8-68531","153397","NY","New York","United States","N"
"956635","47027","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","LONDON","","United Kingdom","Y"
"956635","47027","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"955628","2655","UBS AG","","","LONDON","","United Kingdom","Y"
"955628","2655","MORGAN STANLEY & CO.  INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"936703","165158","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","8-72218","","CHICAGO","Illinois","United States","N"
"951295","167432","MORGAN STANLEY AND CO. INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"951295","167432","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","LONDON","","United Kingdom","Y"
"953380","167669","THE HUNTINGTON INVESTMENT COMPANY","8-34867","16986","COLUMBUS","Ohio","United States","Y"
"950167","167323","PERSHING LLC","8-17574","7560","JERSEY CITY","New Jersey","United States","N"
"957434","65172","BANK HAPOALIM","","","TEL AVIV","","Israel","Y"
"957434","65144","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"957434","65173","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"957434","65170","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"957434","167148","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"957434","65145","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"957434","65109","U.S. BANCORP INVESTMENTS, INC.","8-35359","17868","MINNEAPOLIS","Minnesota","United States","N"
"957434","167149","INTERACTIVE BROKERS LLC","8-47257","36418","GREENWICH","Connecticut","United States","Y"
"957276","26469","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"957276","26469","DEUTSCHE BANK SECURITIES INC.","8-17822","2525","NEW YORK","New York","United States","Y"
"959082","57147","J.P. MORGAN SECURITIES LLC","8-35008","79","NEW YORK","New York","United States","Y"
"956830","43363","JEFFERIES LLC","8-15074","2347","NEW YORK","New York","United States","Y"
"956769","168079","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"956769","168079","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"956769","168079","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","LONDON","","United Kingdom","Y"
"956769","54183","HSBC BANK PLC","","","LONDON","","United Kingdom","Y"
"956769","54183","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"956769","35456","JP MORGAN SECURITIES PLC","","","LONDON","","United Kingdom","Y"
"956769","35456","HSBC BANK PLC","","","LONDON","","United Kingdom","Y"
"956769","35456","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"956769","34858","HSBC BANK PLC","","","LONDON","","United Kingdom","Y"
"956769","34858","JP MORGAN SECURITIES PLC","","","LONDON","","United Kingdom","Y"
"956769","34858","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"956769","35256","JP MORGAN SECURITIES PLC","","","LONDON","","United Kingdom","Y"
"956769","35256","HSBC BANK PLC","","","LONDON","","United Kingdom","Y"
"956769","35256","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"956769","35353","JP MORGAN SECURITIES PLC","","","LONDON","","United Kingdom","Y"
"956769","35353","HSBC BANK PLC","","","LONDON","","United Kingdom","Y"
"956769","35353","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"956769","35294","HSBC BANK PLC","","","LONDON","","United Kingdom","Y"
"956769","35294","JP MORGAN SECURITIES PLC","","","LONDON","","United Kingdom","Y"
"956769","35294","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"956769","54183","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"956769","54183","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"956769","54183","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","LONDON","","United Kingdom","Y"
"956769","54183","UBS AG","","","LONDON","","United Kingdom","Y"
"956769","54183","MORGAN STANLEY & CO. INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"956769","35353","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"956769","35353","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"956769","35294","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"956769","35294","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"956769","35294","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","LONDON","","United Kingdom","Y"
"956769","35294","UBS AG","","","LONDON","","United Kingdom","Y"
"956769","35294","MORGAN STANLEY & CO INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"956769","35353","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","LONDON","","United Kingdom","Y"
"956769","35353","UBS AG","","","LONDON","","United Kingdom","Y"
"956769","35256","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"956769","35256","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"956769","35256","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","LONDON","","United Kingdom","Y"
"956769","35256","UBS AG","","","LONDON","","United Kingdom","Y"
"956769","35256","MORGAN STANLEY & CO. INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"956769","35353","MORGAN STANLEY & CO INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"956769","34858","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"956769","34858","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"956769","34858","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","LONDON","","United Kingdom","Y"
"956769","34858","UBS AG","","","LONDON","","United Kingdom","Y"
"956769","34858","MORGAN STANLEY & CO. INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"956769","35456","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"956769","35456","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"956769","35456","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","LONDON","","United Kingdom","Y"
"956769","35456","UBS AG","","","LONDON","","United Kingdom","Y"
"956769","35456","MORGAN STANLEY & CO. INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"956769","35456","MORGAN STANLEY & COMPANY LLC","","","NEW YORK","New York","United States","Y"
"956769","35256","MORGAN STANLEY & CO. LLC","","","NEW YORK","New York","United States","Y"
"956769","64347","HSBC BANK PLC","","","LONDON","","United Kingdom","Y"
"956769","54185","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"956769","64347","JP MORGAN SECURITIES PLC","","","LONDON","","United Kingdom","Y"
"956769","64347","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"956769","64347","DEUTSCHE BANK AG","","","LONDON","","United Kingdom","Y"
"956769","64347","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","LONDON","","United Kingdom","Y"
"956769","64347","UBS AG","","","LONDON","","United Kingdom","Y"
"956769","64347","MORGAN STANLEY & CO. INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"956769","54183","JP MORGAN SECURITIES PLC","","","LONDON","","United Kingdom","Y"
"956769","64347","BARCLAYS CAPITAL INC.","","","NEW YORK","New York","United States","Y"
"956769","54183","BARCLAYS CAPITAL INC.","","","NEW YORK","New York","United States","Y"
"956769","34858","BARCLAYS CAPITAL INC.","","","NEW YORK","New York","United States","Y"
"956769","35294","BARCLAYS CAPITAL INC.","","","NEW YORK","New York","United States","Y"
"956769","35256","BARCLAYS CAPITAL INC.","","","NEW YORK","New York","United States","Y"
"956769","35456","BARCLAYS CAPITAL INC.","","","NEW YORK","New York","United States","Y"
"956769","35353","BARCLAYS CAPITAL INC.","","","NEW YORK","New York","United States","Y"
"959560","168256","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"959415","168241","UBS AG","","","LONDON","","United Kingdom","Y"
"959415","27676","J.P. MORGAN SECURITIES PLC","","","LONDON","","United Kingdom","Y"
"959415","50094","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","LONDON","","United Kingdom","Y"
"959415","27184","CREDIT SUISSE SECURITIES (USA) LLC","8-422","816","NEW YORK","New York","United States","Y"
"959415","168240","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","LONDON","","United Kingdom","Y"
"959415","27676","MORGAN STANLEY & CO. INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"959415","27676","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"959415","27676","BARCLAYS CAPITAL SECURITIES LIMITED","","","LONDON","","United Kingdom","Y"
