FilingID,Initial SEC Registration Request,Annual Updating Amendment for Registered Adviser,Other-Than Anual Amendment For Registered Adviser,Initial State Registration Request,Initial SEC ERA Report,Annual Updating Amendment ERA Report,Other-Than Annual Amendment ERA Report,Initial State ERA Report,Final State ERA Report, Final SEC ERA Report,Annual Updating Amendment Fiscal Year
1044194,"","","Y","","","","","","","",
1044195,"","","Y","","","","","","","",
1044198,"","","Y","","","","","","","",
1044200,"","","Y","","","","","","","",
1044202,"","","Y","","","","","","","",
1044203,"","","Y","","","","","","","",
1044205,"","","","","","","Y","","","",
1044208,"","","Y","","","","","","","",
1044210,"","","Y","","","","","","","",
1044212,"","","Y","","","","","","","",
1044213,"","","Y","","","","","","","",
1044215,"Y","","","","","","","","","",
1044217,"","","","","Y","","Y","","","",
1044218,"","Y","","","","","","","","",2016
1044221,"","","Y","","","","","","","",
1044222,"","","Y","","","","","","","",
1044223,"Y","","","","","","","","","",
1044224,"","","Y","","","","","","","",
1044225,"","","","","","","Y","","","",
1044231,"","","Y","","","","","","","",
1044232,"","","Y","","","","","","","",
1044236,"","","Y","","","","","","","",
1044238,"","","Y","","","","","","","",
1044239,"","","Y","","","","","","","",
1044240,"","","","","","","Y","","","",
1044243,"","","Y","","","","","","","",
1044244,"","","Y","","","","","","","",
1044245,"","","Y","","","","","","","",
1044250,"","","Y","","","","","","","",
1044258,"","","Y","","","","","","","",
1044260,"","","Y","","","","","","","",
1044262,"","","Y","","","","","","","",
1044265,"","","Y","","","","","","","",
1044266,"","","Y","","","","","","","",
1044267,"","","Y","","","","","","","",
1044270,"","","Y","","","","","","","",
1044272,"","","Y","","","","","","","",
1044273,"","","Y","","","","","","","",
1044275,"","","Y","","","","","","","",
1044278,"","","Y","","","","","","","",
1044280,"","","Y","","","","","","","",
1044282,"","","Y","","","","","","","",
1044283,"","","Y","","","","","","","",
1044284,"","","Y","","","","","","","",
1044294,"","","Y","","","","","","","",
1044296,"","","Y","","","","","","","",
1044297,"","","Y","","","","","","","",
1044299,"","","Y","","","","","","","",
1044300,"","","Y","","","","","","","",
1044305,"","","Y","","","","","","","",
1044309,"","","Y","","","","","","","",
1044310,"Y","","","","","","","","","",
1044311,"","","Y","","","","","","","",
1044312,"","","Y","","","","","","","",
