"FilingID","ReferenceID","Legal Name of Custodian","Primary Business Name","City","State","Country","Related Person","SEC Number","CRD Number"
1042068,167044,"STATE STREET BANK AND TRUST COMPANY","STATE STREET BANK AND TRUST COMPANY","BOSTON","Massachusetts","United States","N","",
1039991,45088,"J.P.MORGAN CHASE BANK, N.A.","J.P.MORGAN CHASE BANK, N.A.","SYDNEY","","Australia","N","",
1038715,173726,"ONE MANAGED INVESTMENT FUNDS LIMITED","ONE MANAGED INVESTMENT FUNDS LIMITED","SYDNEY","","Australia","N","",
1038715,173713,"AUSTRALIAN EXECUTOR TRUSTEES LIMITED","AUSTRALIAN EXECUTOR TRUSTEES LIMITED","SYDNEY","","Australia","N","",
1038715,173716,"AUSTRALIAN EXECUTOR TRUSTEES LIMITED","AUSTRALIAN EXECUTOR TRUSTEES LIMITED","SYDNEY","","Australia","N","",
1040178,43707,"DEUTSCHE BANK AG","DEUTSCHE BANK","GRAND CAYMAN","","Cayman Islands","N","",
1040178,43708,"DEUTSCHE BANK AG","DEUTSCHE BANK","GRAND CAYMAN","","Cayman Islands","N","",
1040178,43711,"DEUTSCHE BANK AG","DEUTSCHE BANK","GRAND CAYMAN","","Cayman Islands","N","",
1040178,179546,"DEUTSCHE BANK AG","DEUTSCHE BANK","GRAND CAYMAN","","Cayman Islands","N","",
1019876,43933,"JEFFERIES LLC","JEFFERIES LLC","NEW YORK","New York","United States","N","",
1019876,58054,"JEFFERIES LLC","JEFFERIES LLC","NEW YORK","New York","United States","N","",
1019876,58055,"JEFFERIES LLC","JEFFERIES LLC","NEW YORK","New York","United States","N","",
1030609,77498,"WELLS FARGO N.A.","WELLS FARGO","ATLANTA","Georgia","United States","N","",
1030609,77499,"WELLS FARGO N.A.","WELLS FARGO","ATLANTA","Georgia","United States","N","",
1020222,34201,"NEWEDGE GROUP INTERNATIONAL BANQUE SA","NEWEDGE GROUP INTERNATIONAL BANQUE SA","LONDON","","United Kingdom","N","",
1020222,34201,"BANK JULIUS BAER & CO LTD","BANK JULIUS BAER & CO LTD","ZURICH","","Switzerland","N","",
1030509,77498,"WELLS FARGO N.A.","WELLS FARGO","ATLANTA","Georgia","United States","N","",
1030509,77499,"WELLS FARGO N.A.","WELLS FARGO","ATLANTA","Georgia","United States","N","",
1025908,178324,"JP MORGAN CHASE","JP MORGAN CHASE","NEW YORK","New York","United States","N","",
1025908,178325,"HSBC BANK (MAURITIUS) LIMITED","HSBC BANK (MAURITIUS) LIMITED","CYBERCITY, EBENE","","Mauritius","N","",
1027721,54800,"MORGAN STANLEY & CO. LLC","MORGAN STANLEY & CO. LLC","NEW YORK","New York","United States","N","8-15869",8209
1027721,173007,"MORGAN STANLEY & CO. LLC","MORGAN STANLEY & CO. LLC","NEW YORK","New York","United States","N","8-15869",8209
1027721,174318,"MORGAN STANLEY & CO. LLC","MORGAN STANLEY & CO. LLC","NEW YORK","New York","United States","N","8-15869",8209
1039267,65425,"STATE STREET CUSTODIAL SERVICES (IRELAND) LTD","STATE STREET CUSTODIAL SERVICES (IRELAND) LTD","DUBLIN","","Ireland","N","",
1039267,32502,"STATE STREET BANK AND TRUST COMPANY","STATE STREET BANK AND TRUST COMPANY","BOSTON","Massachusetts","United States","N","",
