"FilingID","Country/Authority"
"987710","Canada - Alberta Securities Commission"
"987710","Canada - British Columbia Securities Commission"
"987710","Canada - Ontario Securities Commission"
"987710","Canada - Quebec, Financial Markets Authority"
"989433","Hong Kong - Securities and Futures Commission"
"981701","Canada - Alberta Securities Commission"
"981701","Canada - Saskatchewan Financial Services Commission"
"981701","Canada - British Columbia Securities Commission"
"981701","Canada - Manitoba Securities Commission"
"981701","Canada - Ontario Securities Commission"
"982300","United Kingdom - Financial Conduct Authority"
"989138","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"993307","Hong Kong - Securities and Futures Commission"
"986295","Hong Kong - Securities and Futures Commission"
"993331","Singapore - Monetary Authority of Singapore"
"990480","United Kingdom - Financial Conduct Authority"
"991770","Norway - The Banking, Insurance and Securities Commission"
"974370","Cayman Islands - Cayman Islands Monetary Authority"
"974370","Singapore - Monetary Authority of Singapore"
"993453","Switzerland - Swiss Financial Market Supervisory Authority"
"994274","Ireland -  Central Bank of Ireland"
"994509","Ireland -  Central Bank of Ireland"
"987952","United Kingdom - Financial Conduct Authority"
"989219","Other: CAYMAN ISLANDS MONETARY AUTHORITY"
"980046","France - Financial Markets Authority"
"984604","Singapore - Monetary Authority of Singapore"
"974733","Cayman Islands - Cayman Islands Monetary Authority"
"979597","Mauritius, Republic of - Financial Services Commission"
"993346","France - Financial Markets Authority"
"980650","United Kingdom - Financial Conduct Authority"
"987177","Other: KENYA - CAPITAL MARKET AUTHORITY"
"987177","Other: KENYA - RETIREMENT BENEFIT AUTHORITY"
"987177","Other: UGANDA - CAPITAL MARKETS AUTHORITY"
"987177","Other: UGANDA RETIREMENT BENEFIT REGULATORY AUTHORITY"
"993557","Other: MALTA -- MALTA FINANCIAL SERVICES AUTHORITY"
"996806","Ireland -  Central Bank of Ireland"
"985542","Canada - New Brunswick Securities Commission"
"985542","Canada - Newfoundland and Labrador, Financial Services Regulation Division"
"985542","Canada - Northwest Territories, Office of the Registrar of Securities"
"985542","Canada - Nova Scotia Securities Commission"
"985542","Canada - Nunavut, Registrar of Securities"
"985542","Canada - Prince Edward Island, Securities Office"
"985542","Canada - Quebec, Financial Markets Authority"
"985542","Canada - Saskatchewan Financial Services Commission"
"985542","Canada - Yukon Territories, Registrar of Securities"
"985542","Canada - Alberta Securities Commission"
"985542","Canada - British Columbia Securities Commission"
"985542","Canada - Ontario Securities Commission"
"985542","Canada - Manitoba Securities Commission"
"987915","Singapore - Monetary Authority of Singapore"
"995221","Jersey - Jersey Financial Services Commission"
"979463","Hong Kong - Securities and Futures Commission"
"986383","France - Financial Markets Authority"
"997521","Brazil - Securities and Exchange Commission"
"997521","Other: BRAZIL - ANBIMA - SELF REGULATORY ENTITY"
"976325","Hong Kong - Securities and Futures Commission"
"997654","Ireland -  Central Bank of Ireland"
"979500","United Kingdom - Financial Conduct Authority"
"982204","Other: UNITED KINGDOM - FINANCIAL CONDUCT AUTHORITY"
"997714","Switzerland - Swiss Financial Market Supervisory Authority"
"974219","United Kingdom - Financial Conduct Authority"
"989480","Mauritius, Republic of - Financial Services Commission"
"992772","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"977916","France - Financial Markets Authority"
"982171","Netherlands - The Netherlands Authority for the Financial Markets"
"985116","United Kingdom - Financial Conduct Authority"
"985116","India - Securities and Exchange Board of India"
"985116","Dubai - Dubai Financial Services Authority"
"985116","China, People's Republic of - China Securities Regulatory Commission "
"979497","Singapore - Monetary Authority of Singapore"
"990943","Other: FINANCIAL SUPERVISORY AUTHORITY OF NORWAY"
"990943","Ireland -  Central Bank of Ireland"
"987758","Ireland -  Central Bank of Ireland"
"998153","United Kingdom - Financial Conduct Authority"
"986855","France - Financial Markets Authority"
"988662","Cayman Islands - Cayman Islands Monetary Authority"
"993660","Other: CAYMAN ISLANDS MONETARY AUTHORITY"
"998313","Germany - German Federal Financial Supervisory Agency"
"998366","Brazil - Securities and Exchange Commission"
"993340","Singapore - Monetary Authority of Singapore"
"993340","India - Securities and Exchange Board of India"
"997660","United Kingdom - Financial Conduct Authority"
"997661","Dubai - Dubai Financial Services Authority"
"987203","British Virgin Islands - British Virgin Islands Financial Services Commission"
"990675","Other: CAYMAN ISLANDS MONETARY AUTHORITY"
"998662","Singapore - Monetary Authority of Singapore"
"998697","Bermuda - Bermuda Monetary Authority"
"998708","Bermuda - Bermuda Monetary Authority"
"995364","Bermuda - Bermuda Monetary Authority"
"989687","United Kingdom - Financial Conduct Authority"
"996662","United Kingdom - Financial Conduct Authority"
"992967","Cayman Islands - Cayman Islands Stock Exchange Authority"
"995220","Other: MALTA FINANCIAL SERVICES AUTHORITY"
"988667","Other: CAYMAN ISLANDS MONETARY AUTHORITY"
"988667","Canada - Ontario Securities Commission"
"988667","Sweden - Swedish Financial Supervisory Authority"
"988667","Netherlands - The Netherlands Authority for the Financial Markets"
"988667","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"988667","United Kingdom - Financial Conduct Authority"
"988667","Finland - Financial Supervision Authority"
"988667","Norway - The Banking, Insurance and Securities Commission"
"998793","United Kingdom - Financial Conduct Authority"
"998807","Jersey - Jersey Financial Services Commission"
"991865","France - Financial Markets Authority"
"990224","Hong Kong - Securities and Futures Commission"
"978027","United Kingdom - Financial Conduct Authority"
"990947","United Kingdom - Financial Conduct Authority"
"999076","United Kingdom - Financial Conduct Authority"
"982851","Ireland -  Central Bank of Ireland"
"983886","Jersey - Jersey Financial Services Commission"
"994250","Australia - Australian Securities and Investments Commission"
"994250","Bahrain - Central Bank of Bahrain"
