"FilingID","ReferenceID","Legal Name of Custodian","Primary Business Name","City","State","Country","Related Person","SEC Number","CRD Number"
"891793","31427","STIFEL, NICOLAUS & COMPANY, INCORPORATED","STIFEL, NICOLAUS & COMPANY, INCORPORATED","SAN FRANCISCO","California","United States","N","8-1447","793"
"891793","31418","STIFEL, NICOLAUS & COMPANY, INCORPORATED","STIFEL, NICOLAUS & COMPANY, INCORPORATED","SAN FRANCISCO","California","United States","N","8-1447","793"
"891793","31404","STIFEL, NICOLAUS & COMPANY, INCORPORATED","STIFEL, NICOLAUS & COMPANY, INCORPORATED","BALTIMORE","Maryland","United States","N","8-1447","793"
"891793","31439","STIFEL, NICOLAUS & COMPANY, INCORPORATED","STIFEL, NICOLAUS & COMPANY, INCORPORATED","SAN FRANCISCO","California","United States","N","8-1447","793"
"891793","31452","STIFEL, NICOLAUS & COMPANY, INCORPORATED","STIFEL, NICOLAUS & COMPANY, INCORPORATED","SAN FRANCISCO","California","United States","N","8-1447","793"
"870446","55931","SQUARE 1 FINANCIAL","SQUARE 1 FINANCIAL","DURHAM","North Carolina","United States","N","",""
"870446","22349","SQUARE 1 FINANCIAL","SQUARE 1 FINANCIAL","DURHAM","North Carolina","United States","N","",""
"870446","46990","SQUARE 1 FINANCIAL","SQUARE 1 FINANCIAL","DURHAM","North Carolina","United States","N","",""
"870446","46986","SQUARE 1 FINANCIAL","SQUARE 1 FINANCIAL","DURHAM","North Carolina","United States","N","",""
"870446","55930","SQUARE 1 FINANCIAL","SQUARE 1 FINANCIAL","DURHAM","North Carolina","United States","N","",""
"886882","64230","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","SAN FRANCISCO","California","United States","N","8-7221","7691"
"886882","64230","CTBC BANK CO., LTD. - CORPORATE TRUST DEPARTMENT","CTBC BANK CO., LTD.","TAIPEI CITY","","Taiwan,  Republic of China","N","",""
"886882","64230","SQUARE 1 FINANCIAL","SQUARE 1 FINANCIAL","SAN FRANCISCO","California","United States","N","",""
"891747","11521","PERSHING LLC","PERSHING LLC","JERSEY CITY","New Jersey","United States","N","8-17574","7560"
"891747","11514","PERSHING LLC","PERSHING LLC","JERSEY CITY","New Jersey","United States","N","8-17574","7560"
"891747","11473","PERSHING LLC","PERSHING LLC","JERSEY CITY","New Jersey","United States","N","8-17574","7560"
"879141","45328","INTERACTIVE BROKERS","INTERACTIVE BROKERS","GREENWICH","Connecticut","United States","N","",""
"899183","26753","PERSHING LLC","PERSHING LLC","JERSEY CITY","New Jersey","United States","N","8-17574","7560"
"899183","26757","PERSHING LLC","PERSHING LLC","JERSEY CITY","New Jersey","United States","N","8-17574","7560"
"872527","34192","DISCOUNT BANK OF ISRAEL, LTD","DISCOUNT BANK","TEL AVIV","","Israel","N","",""
"872527","34415","DISCOUNT BANK OF ISRAEL LTD","DISCOUNT BANK","TEL AVIV","","Israel","N","",""
"872527","34434","DISCOUNT BANK OF ISRAEL, LTD","DISCOUNT BANK","TEL AVIV","","Israel","N","",""
"872527","34395","DISCOUNT BANK OF ISRAEL, LTD","DISCOUNT BANK","TEL AVIV","","Israel","N","",""
"872527","34428","DISCOUNT BANK OF ISRAEL, LTD","DISCOUNT BANK","TEL AVIV","","Israel","N","",""
"872527","34148","DISCOUNT BANK OF ISRAEL, LTD","DISCOUNT BANK","TAL AVIV","","Israel","N","",""
"872527","49446","DISCOUNT BANK OF ISRAEL, LTD","DISCOUNT BANK","TEL AVIV","","Israel","N","",""
"872527","49450","DISCOUNT BANK OF ISRAEL, LTD","DISCOUNT BANK","TEL AVIV","","Israel","N","",""
"889090","62789","J.P. MORGAN SECURITIES LLC","J.P. MORGAN SECURITIES LLC","NEW YORK","New York","United States","N","8-35008","79"
"889090","25889","J.P. MORGAN SECURITIES LLC","J.P. MORGAN SECURITIES LLC","NEW YORK","New York","United States","N","8-35008","79"
"889090","24960","J.P. MORGAN SECURITIES LLC","J.P. MORGAN SECURITIES LLC","NEW YORK","New York","United States","N","8-35008","79"
"899190","63732","BANQUE PICTET & CIE SA","PICTET","GENEVA","","Switzerland","N","",""
"896749","60308","MORGAN STANLEY & CO. LLC","MORGAN STANLEY & CO. LLC","BOSTON","Massachusetts","United States","N","8-15869","8209"
"896749","60308","BANK OF AMERICA","BANK OF AMERICA","BOSTON","Massachusetts","United States","N","",""
"896749","60310","MORGAN STANLEY & CO. LLC","MORGAN STANLEY & CO. LLC","BOSTON","Massachusetts","United States","N","8-15869","8209"
"896749","60310","BANK OF AMERICA","BANK OF AMERICA","BOSTON","Massachusetts","United States","N","",""
"896749","33160","MORGAN STANLEY & CO. LLC","MORGAN STANLEY & CO. LLC","BOSTON","Massachusetts","United States","N","8-15869","8209"
"896749","33160","BANK OF AMERICA","BANK OF AMERICA","BOSTON","Massachusetts","United States","N","",""
"896749","33249","MORGAN STANLEY & CO. LLC","MORGAN STANLEY & CO. LLC","BOSTON","Massachusetts","United States","N","8-15869","8209"
"896749","33249","BANK OF AMERICA","BANK OF AMERICA","BOSTON","Massachusetts","United States","N","",""
"896749","33278","MORGAN STANLEY & CO. LLC","MORGAN STANLEY & CO. LLC","BOSTON","Massachusetts","United States","N","8-15869","8209"
"896749","33278","BANK OF AMERICA","BANK OF AMERICA","BOSTON","Massachusetts","United States","N","",""
"896749","33323","MORGAN STANLEY & CO. LLC","MORGAN STANLEY & CO. LLC","BOSTON","Massachusetts","United States","N","8-15869","8209"
"896749","33323","BANK OF AMERICA","BANK OF AMERICA","BOSTON","Massachusetts","United States","N","",""
"896749","40023","BANK OF AMERICA","BANK OF AMERICA","BOSTON","Massachusetts","United States","N","",""
"896749","40023","MORGAN STANLEY & CO. LLC","MORGAN STANLEY & CO. LLC","BOSTON","Massachusetts","United States","N","8-15869","8209"
"896749","40040","BANK OF AMERICA","BANK OF AMERICA","BOSTON","Massachusetts","United States","N","",""
"896749","40040","MORGAN STANLEY & CO. LLC","MORGAN STANLEY & CO. LLC","BOSTON","Massachusetts","United States","N","8-15869","8209"
"865326","69890","SILICON VALLEY BANK","SILICON VALLEY BANK","MENLO PARK","California","United States","N","",""
"865326","18947","SILICON VALLEY BANK","SILICON VALLEY BANK","MENLO PARK","California","United States","N","",""
"865326","18982","SILICON VALLEY BANK","SILICON VALLEY BANK","MENLO PARK","California","United States","N","",""
"865326","18939","SILICON VALLEY BANK","SILICON VALLEY BANK","MENLO PARK","California","United States","N","",""
"865326","51399","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"865326","51399","SILICON VALLEY BANK","SILICON VALLEY BANK","MENLO PARK","California","United States","N","",""
"865326","15330","SILICON VALLEY BANK","SILICON VALLEY BANK","MENLO PARK","California","United States","N","",""
"865326","18885","SILICON VALLEY BANK","SILICON VALLEY BANK","MENLO PARK","California","United States","N","",""
"865326","51397","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"865326","51397","SILICON VALLEY BANK","SILICON VALLEY BANK","MENLO PARK","California","United States","N","",""
"865326","18917","SILICON VALLEY BANK","SILICON VALLEY BANK","MENLO PARK","California","United States","N","",""
"865326","18899","SILICON VALLEY BANK","SILICON VALLEY BANK","MENLO PARK","California","United States","N","",""
"865326","18909","SILICON VALLEY BANK","SILICON VALLEY BANK","MENLO PARK","California","United States","N","",""
"865326","18923","SILICON VALLEY BANK","SILICON VALLEY BANK","MENLO PARK","California","United States","N","",""
"865326","18591","SILICON VALLEY BANK","SILICON VALLEY BANK","MENLO PARK","California","United States","N","",""
"865326","18929","SILICON VALLEY BANK","SILICON VALLEY BANK","MENLO PARK","California","United States","N","",""
"865326","18588","SILICON VALLEY BANK","SILICON VALLEY BANK","MENLO PARK","California","United States","N","",""
"865326","18903","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"865326","18903","SILICON VALLEY BANK","SILICON VALLEY BANK","MENLO PARK","California","United States","N","",""
"865326","18909","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"865326","18917","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"865326","18923","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"865326","18929","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"865326","18939","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"865326","18947","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"865326","18982","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"898057","60721","J.P. MORGAN SECURITIES LLC","J.P. MORGAN SECURITIES LLC","NEW YORK","New York","United States","N","8-35008","79"
"898057","60721","INTERACTIVE BROKERS LLC","INTERACTIVE BROKERS LLC","GREENWICH","Connecticut","United States","N","8-47257","36418"
"898057","60721","JEFFRIES LLC","JEFFRIES LLC","NEW YORK","New York","United States","N","",""
"898057","43827","J.P. MORGAN SECURITIES LLC","J.P. MORGAN SECURITIES LLC","NEW YORK","New York","United States","N","8-35008","79"
"898057","43827","INTERACTIVE BROKERS LLC","INTERACTIVE BROKERS LLC","GREENWICH","Connecticut","United States","N","8-47257","36418"
"898057","43827","JEFFERIES LLC","JEFFERIES LLC","NEW YORK","New York","United States","N","",""
"897622","7934","FROST BANK","FROST BANK","HOUSTON","Texas","United States","N","",""
"897622","7938","FROST BANK","FROST BANK","HOUSTON","Texas","United States","N","",""
