"FilingID","ReferenceID","SubreferenceID","Private Fund Name","Fund ID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion"
"880651","72734","27384","IHS FUND II SSA (CAYMAN FEEDER B) L.P.","805-9002599368","","Cayman Islands","N","Y"
"880651","72682","27370","IHS FUND II SA FEEDER","805-5715438038","","South Africa","N","Y"
"880651","72682","27369","IHS FUND II SA (CAYMAN FEEDER B) L.P.","805-6528777380","","Cayman Islands","N","Y"
"880651","72682","27368","IHS FUND II SA (CAYMAN FEEDER A) L.P.","805-1207578340","","Cayman Islands","N","Y"
"889635","49429","9119","TIGER PACIFIC OFFSHORE FUND LTD.","805-6664878212","","Cayman Islands","N","Y"
"889635","49429","9118","TIGER PACIFIC DOMESTIC FUND LP","805-3073253763","Delaware","United States","N","Y"
"867456","62145","12622","AP ASIA ALPHA STRATEGY FUND","805-1766487274","","Cayman Islands","N","Y"
"867456","41542","7529","AP ASIA ABSOLUTE RETURN FUND LIMITED","805-8886067073","","Cayman Islands","N","Y"
"892357","22682","6094","O-CAP OFFSHORE FUND LTD","805-8253036550","","Cayman Islands","N","Y"
"865007","8771","2483","CEDAR HILL ONSHORE MORTGAGE OPPORTUNITY FUND, L.P.","805-6744152202","Delaware","United States","N","Y"
"865007","8771","2482","CEDAR HILL OFFSHORE MORTGAGE OPPORTUNITY FUND, L.P.","805-8391322087","","Cayman Islands","N","Y"
"891491","52557","10175","ATIKA OFFSHORE FUND, LTD.","805-7466696952","","Cayman Islands","Y","N"
"896592","59208","11945","GTI INVESTMENTS ALPHA LP","805-1477205442","","British Virgin Islands","N","Y"
"896592","59208","11943","GTI CAPITAL GROUP HOLDINGS (SINGAPORE) PTE LIMITED","805-2720734505","","Singapore","N","Y"
"896592","58345","11940","GTI CAPITAL GROUP LIMITED","805-7139526362","","Cayman Islands","N","Y"
"896685","58981","11903","GTI CO-INVESTMENT, LP","805-6434033609","Delaware","United States","Y","N"
"896703","59062","11929","GTI MEDIVENTURES, LP","805-1075191430","Delaware","United States","Y","N"
"896703","59062","11928","GTI MEDIVENTURES QP, LP","805-7441511344","Delaware","United States","Y","N"
"895947","38917","7167","ALDINE CAPITAL FUND, L.P.","805-4478870313","Delaware","United States","Y","N"
"878260","68374","13971","HAWK RIDGE PARTNERS II, L.P.","805-5666597689","Delaware","United States","N","Y"
"878260","68374","13970","HAWK RIDGE PARTNERS, L.P.","805-7851419737","Delaware","United States","Y","N"
"890636","36622","6798","PARI WASHINGTON INDIA FUND, LTD.","805-5363019368","","Mauritius","N","Y"
"893391","44471","10366","ICEROSE PARTNERS LP","805-5954853223","Delaware","United States","N","Y"
"874759","70276","15367","ENCAP ENERGY CAPITAL FUND X-C, L.P.","805-3613525704","","Cayman Islands","N","Y"
"874759","70276","15366","ENCAP ENERGY CAPITAL FUND X-D, L.P.","805-4899042169","Texas","United States","N","Y"
"874759","68443","13986","ENCAP FLATROCK MIDSTREAM FUND III-C, L.P.","805-3603181068","","Cayman Islands","N","Y"
