"FilingID","ReferenceID","Name of Administrator","City","State","Country","Related Person","Statements","Who Sends Statements"
"969151","28283","CAP4CAP GMBH & CO. KG","FRANKFURT AM MAIN","","Germany","Y","Yes (provided to all investors)",""
"992899","25143","ORANGEFIELD COLUMBUS","NEW YORK","New York","United States","N","Yes (provided to all investors)",""
"958913","44731","MAPLES FUND SERVICES (CAYMAN) LIMITED","GRAND CAYMAN","","Cayman Islands","N","Yes (provided to all investors)",""
"958913","44612","MAPLES FUND SERVICES (CAYMAN) LIMITED","GRAND CAYMAN","","Cayman Islands","N","Yes (provided to all investors)",""
"958913","44732","MAPLES FUND SERVICES (CAYMAN) LIMITED","GRAND CAYMAN","","Cayman Islands","N","Yes (provided to all investors)",""
"985652","38007","SECOND CITY CAPITAL II CORPORATION","VANCOUVER","","Canada","Y","Yes (provided to all investors)",""
"993307","57779","BNP PARIBAS SECURITIES SERVICES","HONG KONG","","Hong kong","N","Yes (provided to all investors)",""
"993307","57779","BNP PARIBAS FUND ADMINISTRATION SERVICES (CAYMAN) LIMITED","GRAND CAYMAN","","Cayman Islands","N","Yes (provided to all investors)",""
"993307","57776","BNP PARIBAS SECURITIES SERVICES","HONG KONG","","Hong kong","N","Yes (provided to all investors)",""
"993307","57776","BNP PARIBAS FUND ADMINISTRATION SERVICES (CAYMAN) LIMITED","GRAND CAYMAN","","Cayman Islands","N","Yes (provided to all investors)",""
"979083","170147","STANDISH MANAGEMENT, LLC","SAN FRANCISCO","California","United States","N","Yes (provided to all investors)",""
"979083","68458","STANDISH MANAGEMENT, LLC","SAN FRANCISCO","California","United States","N","Yes (provided to all investors)",""
"979083","68457","STANDISH MANAGEMENT, LLC","SAN FRANCISCO","California","United States","N","Yes (provided to all investors)",""
"979083","68425","STANDISH MANAGEMENT, LLC","SAN FRANCISCO","California","United States","N","Yes (provided to all investors)",""
"979083","68413","STANDISH MANAGEMENT, LLC","SAN FRANCISCO","California","United States","N","Yes (provided to all investors)",""
"979083","68411","STANDISH MANAGEMENT, LLC","SAN FRANCISCO","California","United States","N","Yes (provided to all investors)",""
"979083","68410","STANDISH MANAGEMENT, LLC","SAN FRANCISCO","California","United States","N","Yes (provided to all investors)",""
"979083","68409","STANDISH MANAGEMENT, LLC","SAN FRANCISCO","California","United States","N","Yes (provided to all investors)",""
"979083","31205","STANDISH MANAGEMENT, LLC","SAN FRANCISCO","California","United States","N","Yes (provided to all investors)",""
"979083","68414","STANDISH MANAGEMENT, LLC","SAN FRANCISCO","California","United States","N","Yes (provided to all investors)",""
"979083","169964","STANDISH MANAGEMENT, LLC","SAN FRANCISCO","California","United States","N","Yes (provided to all investors)",""
"979083","169953","STANDISH MANAGEMENT, LLC","SAN FRANCISCO","California","United States","N","Yes (provided to all investors)",""
"979083","170146","STANDISH MANAGEMENT, LLC","SAN FRANCISCO","California","United States","N","Yes (provided to all investors)",""
"994255","30249","BNY MELLON","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"994255","69216","BNY MELLON","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"994460","60104","INTERTRUST NETHERLANDS B.V.","AMSTERDAM","","Netherlands","N","No (provided to no investors)","NOT APPLICABLE"
