"FilingID","Fund Name","Fund ID","ReferenceID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion","Master Fund","Feeder Fund","Master Fund Name","Master Fund ID","Fund of Funds","Fund Invested Self or Related","Fund Invested in Securities","Fund Type","Fund Type Other","Gross Asset Value","Minimum Investment","Owners","%Owned You or Related","%Owned Funds","%Owned Non-US","Subadviser","Other IAs Advise","Clients Solicited","Percentage Invested","Exempt from Registration","Annual Audit","GAAP","FS Distributed","Unqualified Opinion","Prime Brokers","Custodians","Administrator","% Assets Valued","Marketing"
1058364,"GENERAL CATALYST GROUP VIII, LP",805-6752363524,171598,"Delaware","United States","N","Y","N","N","",,"N","","N","Venture Capital Fund","",676923077,80000,70,3,27,22,"N","N","N",0,"Y","Y","Y","Y","Yes","N","Y","N",0,"N"
1058364,"GENERAL CATALYST GROUP VIII SUPPLEMENTAL, LP",805-2276315100,173170,"Delaware","United States","N","Y","N","N","",,"N","","N","Venture Capital Fund","",169230769,20000,70,3,27,22,"N","N","N",0,"Y","Y","Y","Y","Yes","N","Y","N",0,"N"
1058364,"GC ENTREPRENEURS FUND V, LP",805-4968965757,27051,"Delaware","United States","N","Y","N","N","",,"N","","N","Venture Capital Fund","",26864609,50000,51,1,8,4,"N","N","N",0,"Y","Y","Y","Y","Yes","N","Y","N",0,"N"
1058364,"GENERAL CATALYST GROUP V SUPPLEMENTAL, LP",805-6740086619,27053,"Delaware","United States","N","Y","N","N","",,"N","","N","Venture Capital Fund","",527985204,500000,82,1,18,17,"N","N","N",0,"Y","Y","Y","Y","Yes","N","Y","N",0,"N"
1058364,"GENERAL CATALYST GROUP VI, LP",805-1824674421,27054,"Delaware","United States","N","Y","N","N","",,"N","","N","Venture Capital Fund","",1356753409,100000,57,1,22,11,"N","N","N",0,"Y","Y","Y","Y","Yes","N","Y","N",0,"N"
1058364,"GENERAL CATALYST GROUP VII, LP",805-5607754937,61545,"Delaware","United States","N","Y","N","N","",,"N","","N","Venture Capital Fund","",767093636,100000,71,3,34,28,"N","N","N",0,"Y","Y","Y","Y","Yes","N","Y","N",0,"N"
1058364,"GENERAL CATALYST GROUP II, LP",805-6073243538,26755,"Delaware","United States","N","Y","N","N","",,"N","","N","Venture Capital Fund","",102013962,50000,40,2,12,6,"N","N","N",0,"Y","Y","Y","Y","Yes","N","Y","N",0,"N"
1058364,"GC ENTREPRENEURS FUND II, LP",805-5611877638,26780,"Delaware","United States","Y","N","N","N","",,"N","","N","Venture Capital Fund","",3595116,50000,38,1,0,12,"N","N","N",0,"Y","Y","Y","Y","Yes","N","Y","N",0,"N"
1058364,"GENERAL CATALYST GROUP III, LP",805-6560121288,26796,"Delaware","United States","N","Y","N","N","",,"N","","N","Venture Capital Fund","",32440944,250000,40,1,11,10,"N","N","N",0,"Y","Y","Y","Y","Yes","N","Y","N",0,"N"
1058364,"GC ENTREPRENEURS FUND III, LP",805-2217745948,26801,"Delaware","United States","N","Y","N","N","",,"N","","N","Venture Capital Fund","",1173920,50000,27,1,20,16,"N","N","N",0,"Y","Y","Y","Y","Yes","N","Y","N",0,"N"
1058364,"GENERAL CATALYST GROUP IV, LP",805-2086683210,26815,"Delaware","United States","N","Y","N","N","",,"N","","N","Venture Capital Fund","",201304948,250000,64,1,11,13,"N","N","N",0,"Y","Y","Y","Y","Yes","N","Y","N",0,"N"
1052051,"PLAINVIEW FUNDS PLC-MACKAY SHIELDS CORE PLUS OPPORTUNITIES PORTFOLIO",805-8740668940,62846,"","Ireland","N","Y","N","N","",,"N","","N","Hedge Fund","",31333351,5000000,3,0,0,100,"N","Y","Y",0,"N","Y","Y","Y","Report Not Yet Received","N","Y","Y",100,"Y"
1052051,"PLAINVIEW FUNDS PLC - MACKAY SHIELDS UNCONSTRAINED BOND PORTFOLIO",805-7208138235,55205,"","Ireland","N","Y","N","N","",,"N","","Y","Hedge Fund","",348556174,5000000,12,25,0,43,"N","Y","Y",0,"N","Y","Y","Y","Report Not Yet Received","N","Y","Y",100,"Y"
1052051,"PLAINVIEW FUNDS PLC - MACKAY SHIELDS FLOATING RATE HIGH YIELD PORTFOLIO",805-4961670894,55206,"","Ireland","N","Y","N","N","",,"N","","N","Other Private Fund","OTHER PRIVATE FUND",42677529,5000000,3,100,0,0,"N","Y","Y",0,"N","Y","Y","Y","Report Not Yet Received","N","Y","Y",100,"Y"
1052051,"PLAINVIEW FUNDS PLC - MACKAY SHIELDS EMERGING MARKETS CREDIT PORTFOLIO",805-6176619620,55202,"","Ireland","N","Y","N","N","",,"N","","N","Hedge Fund","",25595548,5000000,2,100,0,0,"N","Y","Y",0,"N","Y","Y","Y","Report Not Yet Received","N","Y","Y",100,"Y"
1058379,"VERTEX FUND",805-3201470683,33223,"","Canada","Y","N","N","N","",,"N","","N","Hedge Fund","",1095518572,1000000,7293,1,0,99,"N","N","Y",3,"N","Y","N","Y","Yes","Y","Y","Y",100,"N"
