"FilingID","Other Products and Services","Business Name"
"686864","AIFML IS THE GLOBAL DISTRIBUTOR FOR ABERDEEN'S LUXEMBOURG DOMICILED UCITS FUNDS AND IS RESPONSIBLE FOR THE APPOINTMENT OF SUB-DISTRIBUTORS IN COUNTRIES AROUND THE WORLD FOR THE FUNDS' DISTRIBUTION.",""
"685674","VALUATION RELATED SERVICES AND LITIGATION SUPPORT","CAPSTONE VALUATION SERVICES, LLC"
"684708","ABERDEEN GLOBAL SERVICES SA (AGS) ALSO PROVIDES DOMICILIARY AND LISTING AGENCY SERVICES TO ALL THE FUNDS FOR WHICH IT IS APPOINTED MANAGEMENT COMPANY.",""
"688847","'BANK OF SCOTLAND PLC ALSO PROVIDES HEDGING. ADMINISTRATIVE, LETTER OF CREDIT, LIQUIDITY AND OTHER LENDING FACILITIES (WHICH MAY INCLUDE REPURCHASE ARRANGEMENTS) TO GRAMPIAN'THE PRIVATE FUND DESCRIBED IN SECTION 7B(1)",""
"686920","LLOYDS TSB BANK PLC ALSO PROVIDES HEDGING. ADMINISTRATIVE, LETTER OF CREDIT, LIQUIDITY AND OTHER LENDING FACILITIES (WHICH MAY INCLUDE REPURCHASE ARRANGEMENTS) TO CANCARA AND ARGENTO THE PRIVATE FUNDS DESCRIBED IN SECTION 7B(1)",""
"692164","MARKETING OF FUNDS OUTSIDE OF THE UNITED STATES",""
"692186","CORPORATE FINANCE ADVISORY SERVICES",""
"696272","THE ADVISER ALSO PROVIDES CONTINUOUS MANAGEMENT SERVICES TO A PROPRIETARY ACCOUNT AND A CLIENT ACCOUNT FOR WHICH IT RECEIVES NO COMPENSATION. THESE ACCOUNTS HAVE BEEN INCLUDED IN THE CALCULATION OF THE ADVISER'S RAUM.",""
"702349","THE FIRM PROVIDES REAL ESTATE UNDERWRITING SERVICES TO ITS INVESTMENT ADVISORY CLIENTS",""
"703660","LIFE INSURANCE, HEALTH INSURANCE, ANNUITIES",""
"707601","OPERATIVE COMPANY CONSULTING AND RESTRUCTURING SERVICES",""
"706884","FUND ADMINISTRATION (E.G. CAPITAL CALLS AND DISTRIBUTIONS, DISTRIBUTION OF ANNUAL REPORTS AND K-1'S)","LEVERPOINT MANAGEMENT, LLC"
"708163","FUND ADMINISTRATION (E.G. CAPITAL CALLS AND DISTRIBUTIONS, DISTRIBUTION OF ANNUAL REPORTS AND K-1'S)","LEVERPOINT MANAGEMENT, LLC"
"705681","GROWTH CAPITAL- PROVIDE EQUITY AND/OR MEZZANINE CAPITAL FOR LOWER-MIDDLE MARKET COMPANIES. STRATEGIC ADVISORS- PROVIDE WIDE RANGE OF ACCOUNTING AND CORPORATE FINANCE CONSULTING. REAL ESTATE- OFFER COMPREHENSIVE REAL ESTATE SERVICES.",""
"684428","INVESTMENT MANAGEMENT SERVICES",""
"705669","STURGEON COMPLIANCE SERVICES LIMITED SELLS COMPLIANCE SERVICES TO CLIENTS TO HELP THEM MEET THEIR REGULATORY REQUIREMENTS","STURGEON COMPLIANCE SERVICES LIMITED"
"690903","SAME AS 6.B.(2)",""
"714555","REPORTING AND ADMINISTRATIVE SERVICES",""
"716907","FUND ADMINISTRATION (E.G. CAPITAL CALLS AND DISTRIBUTIONS, DISTRIBUTION OF ANNUAL REPORTS AND K-1'S)","LEVERPOINT MANAGEMENT, LLC"
"700166","ORBIS ASSET MANAGEMENT LIMITED SERVES AS GENERAL PARTNER OF FOUR POOLED INVESTMENT VEHICLES THAT ARE ITS ADVISORY CLIENTS.",""
"699988","PROFESSIONAL CHIEF EXECUTIVE OFFICER SERVICES TO INDIVIDUALS AND FAMILIES.",""
"701220","BROAD MANAGEMENT, ADMINISTRATION AND DISTRIBUTION SERVICES TO A NUMBER OF PRIVATE FUND CLIENTS ALTHOUGH THE MAJORITY OF SUCH SERVICES ARE OUTSOURCED TO OTHER ENTITIES.",""
"716556","N/A",""
"720847","PROVIDES ADMINISTRATIVE SUPPORT SERVICES TO INVESTMENT ADVISORY CLIENTS AND RELATED ENTITIES.  OFFERED AS PART OF THE SOFT WIND DOWN SERVICES PROVIDED TO ENTITIES IN RUN OFF OR LIQUIDATION. INCLUDES FUND ACCOUNTING, INVESTOR SERVICES FUNCTIONS.",""
"716581","LIQUIDITY FACILITY PROVIDER, LETTER OF CREDIT PROVIDER, ADMINISTRATIVE AGENT",""
"714355","AULDBRASS PARTNERS, LP PROVIDES PORTFOLIO MONITORING SERVICES. SUCH SERVICES ARE ADMINISTRATIVE AND INCLUDE ATTENDING MEETINGS AND CATEGORIZING INFORMATION WITH RESPECT TO INVESTMENTS IN THE CLIENT'S PORTFOLIO.",""
"719738","SEE ITEM 6.B.(2).",""
"698608","AN AFFILIATE IN JAPAN PROVIDES ASSET MANAGEMENT SERVICES TO ADVISORY CLIENTS AND OTHER NON ADVISORY CLIENT PARTIES. (LICENSED BY JAPAN MINISTRY OF JUSTICE)","SECURED CAPITAL SERVICING CO. LTD."
"714034","NON-EXCLUSIVE SALES AGENT IN RESPECT OF THE SHARES AND INTERESTS (AS APPLICABLE) OF ITS CLIENTS, IN MONACO",""
"719641","SERVICING COMMERCIAL REAL ESTATE LOANS MANAGING FORECLOSED REAL ESTATE ADMINISTRATIVE SUPPORT SERVICES (ACCOUNTING, REPORTING, MANAGING DAY TO DAY OPERATIONS OF PRIVATE FUND CLIENTS)","DCR LOAN SERVICING, LLC"
"720140","THE COMPANY ALSO PROVIDES FUND ADMINISTRATION SERVICES TO THE FUNDS IT ADVISES AND TO PRIVATE FUNDS ADVISED BY SCOTTISH WIDOWS INVESTMENT PARTNERSHIP (SWIP).  THESE PRIVATE FUNDS ARE REPORTED ON THE ADV 1 OF SWIP.",""
"701410","ACTING AS ADMINISTRATIVE AGENT ON BANK LOAN AGREEMENTS",""
"723204","LLOYDS TSB BANK PLC ALSO PROVIDES HEDGING. ADMINISTRATIVE, LETTER OF CREDIT, LIQUIDITY AND OTHER LENDING FACILITIES (WHICH MAY INCLUDE REPURCHASE ARRANGEMENTS) TO CANCARA  THE PRIVATE FUND DESCRIBED IN SECTION 7B(1)",""
"717147","SEE RESPONSE TO SECTION 6.B(2) ABOVE.",""
"724537","VALUATION RELATED SERVICES AND LITIGATION SUPPORT","CAPSTONE VALUATION SERVICES, LLC"
"723633","BANKERS SOUTH LENDING & FINANCE, A LICENSED MORTGAGE LENDER AND BROKER, ORIGINATES LOANS, SERVICES LOANS, PROVIDES UNDERWRITING AND DUE DILIGENCE SERVICES FOR THE FUNDS ASSETS.",""
"727904","THE ADVISER ALSO PROVIDES CONTINUOUS MANAGEMENT SERVICES TO A PROPRIETARY ACCOUNT AND A CLIENT ACCOUNT FOR WHICH IT RECEIVES NO COMPENSATION. THESE ACCOUNTS HAVE BEEN INCLUDED IN THE CALCULATION OF THE ADVISER'S RAUM.",""
"727202","ACTING AS ADMINISTRATIVE AGENT ON BANK LOAN AGREEMENTS",""
"704339","REINSURANCE MANAGEMENT SERVICES.",""
"731237","AIFML IS THE GLOBAL DISTRIBUTOR FOR ABERDEEN'S LUXEMBOURG DOMICILED UCITS FUNDS AND IS RESPONSIBLE FOR THE APPOINTMENT OF SUB-DISTRIBUTORS IN COUNTRIES AROUND THE WORLD FOR THE FUNDS' DISTRIBUTION.",""
"735420","THE ADVISER PROVIDES THE FOLLOWING OTHER SERVICES TO CERTAIN CLIENTS:  1. STRATEGY FOR NEW FUNDS/BUSINESSES; 2. FINANCIAL AND INTERNAL CONTROL PROCESSES - ASSESSMENT AND OVERSIGHT; AND 3. ASSISTANCE AND ADVICE ON FINANCIAL AND SOCIAL REPORTING.",""
"736091","NON-EXCLUSIVE SALES AGENT IN RESPECT OF THE SHARES AND INTERESTS (AS APPLICABLE) OF ITS CLIENTS, IN MONACO",""
"729442","OUR CLIENTS ARE PRIVATE FUNDS AND IN ADDITION TO PROVIDING THEM WITH INVESTMENT ADVICE, WE PROVIDE BOOKKEEPING, ACCOUNTING AND GENERAL ADMINISTRATION SERVICES TO THEM.",""
"742798","MANAGEMENT SERVICES OF FUNDS",""
"741424","VENTURE CAPITAL MANAGEMENT SERVICES INCLUDING REPORTING, CONCLUDING TRANSACTIONS AND FUND ADMINISTRATION",""
"741807","ADMINISTRATIVE AND MINISTERIAL SERVICES.",""
"745736","AN AFFILIATE IN JAPAN PROVIDES ASSET MANAGEMENT SERVICES TO ADVISORY CLIENTS AND OTHER NON ADVISORY CLIENT PARTIES. (LICENSED BY JAPAN MINISTRY OF JUSTICE)","SECURED CAPITAL SERVICING CO. LTD."
"750023","ABERDEEN GLOBAL SERVICES SA (AGS) ALSO PROVIDES DOMICILIARY AND LISTING AGENCY SERVICES TO ALL THE FUNDS FOR WHICH IT IS APPOINTED MANAGEMENT COMPANY.",""
"751448","CONSULTING SERVICES",""
"753767","ABERDEEN GLOBAL SERVICES SA (AGS) ALSO PROVIDES DOMICILIARY AND LISTING AGENCY SERVICES TO ALL THE FUNDS FOR WHICH IT IS APPOINTED MANAGEMENT COMPANY.",""
