"FilingID","ReferenceID","Foreign Regulatory Authority"
"966514","49353","Singapore - Monetary Authority of Singapore"
"966514","25372","Singapore - Monetary Authority of Singapore"
"966514","53915","Singapore - Monetary Authority of Singapore"
"966514","53916","Ireland -  Central Bank of Ireland"
"966514","53916","Singapore - Monetary Authority of Singapore"
"966514","53915","Ireland -  Central Bank of Ireland"
"966514","53914","Ireland -  Central Bank of Ireland"
"966514","53914","Singapore - Monetary Authority of Singapore"
"966514","25386","Cayman Islands - Cayman Islands Monetary Authority"
"966514","25386","Singapore - Monetary Authority of Singapore"
"966514","25386","Other - IRISH STOCK EXCHANGE"
"964654","168607","Cayman Islands - Cayman Islands Monetary Authority"
"965684","168204","Other - COMMISSIONE NAZIONALE PER LE SOCIETÀ E LA BORSA (CONSOB)"
"965684","168204","Other - FINANCIAL CONDUCT AUTHORITY (FCA)"
"965684","168204","Other - SWISS FINANCIAL MARKET SUPERVISORY AUTHORITY (FINMA)"
"965684","168204","Other - FINANCIAL SERVICES AND MARKETS AUTHORITY (FSMA)"
"965684","168204","Other - FINANCIAL MARKET AUTHORITY  (FMA)"
"965684","168204","Other - AUTORITEIT FINANCIËLE MARKTEN (AFM)"
"965684","67017","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"965684","66431","Other - BELGIUM - FINANCIAL SERVICES AND MARKET AUTHORITY (FSMA)"
"965684","66429","Other - BELGIUM - FINANCIAL SERVICES AND MARKET AUTHORITY (FSMA)"
"965684","168204","France - Financial Markets Authority"
"965684","168204","Other - FEDERAL FINANCIAL SUPERVISORY AUTHORITY (BAFIN)"
"965684","168204","Other - COMISIÓN NACIONAL DEL MERCADO DE VALORES(CNMV)"
"965684","168204","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964662","67015","France - Financial Markets Authority"
"964662","67016","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964435","20554","Bermuda - Bermuda Monetary Authority"
"964435","21705","Bermuda - Bermuda Monetary Authority"
"964435","57774","Cayman Islands - Cayman Islands Monetary Authority"
