"FilingID","Full Legal Name","CIK Number"
597291,"THE GOLDMAN SACHS GROUP,INC.",86982
591413,"RAYMOND JAMES FINANCIAL, INC.",720005
597447,"H & R BLOCK, INC.",12659
594622,"RAYMOND JAMES FINANCIAL, INC.",705
598308,"THE GOLDMAN SACHS GROUP,INC.",886982
598267,"RAYMOND JAMES FINANCIAL",720005
598323,"RAYMOND JAMES FINANCIAL",720005
598319,"THE GOLDMAN SACHS GROUP,INC.",886982
598327,"RAYMOND JAMES FINANCIAL",720005
598328,"THE GOLDMAN SACHS GROUP,INC",886982
598344,"THE GOLDMAN SACHS GROUP,INC.",886982
596559,"FIRST FINANCIAL HOLDINGS, INC.",570866076
597430,"LPL INVESTMENT HOLDINGS INC.",1397911
598346,"THE GOLDMAN SACHS GROUP,INC.",886982
598347,"THE GOLDMAN SACHS GROUP,INC",886982
598354,"BANK OF NEW YORK MELLON CORPORATION",1390777
598349,"LPL INVESTMENT HOLDINGS INC.",1397911
596479,"GENWORTH FINANCIAL, INC.",1276520
598361,"GENWORTH FINANCIAL, INC.",1276520
595245,"FRANKLIN RESOURCES, INC.",38777
595243,"FRANKLIN RESOURCES, INC.",38777
597868,"FRANKLIN RESOURCES, INC.",38777
597869,"FRANKLIN RESOURCES, INC.",38777
595244,"FRANKLIN RESOURCES, INC.",38777
597876,"FRANKLIN RESOURCES, INC.",38777
596282,"FRANKLIN RESOURCES, INC.",38777
597877,"FRANKLIN RESOURCES, INC.",38777
597878,"FRANKLIN RESOURCES, INC.",38777
597879,"FRANKLIN RESOURCES, INC.",38777
597880,"FRANKLIN RESOURCES, INC.",38777
597882,"FRANKLIN RESOURCES, INC.",38777
597883,"FRANKLIN RESOURCES, INC.",38777
597884,"FRANKLIN RESOURCES, INC.",38777
597885,"FRANKLIN RESOURCES, INC.",38777
597870,"FRANKLIN RESOURCES, INC.",38777
589775,"RESOURCE AMERICA, INC.",83402
590629,"SUNTRUST BANKS, INC.",750556
598884,"DEUTSCHE BANK AG",948046
597523,"BANK OF AMERICA CORPORATION",70858
599148,"AON CORPORATION",315293
599108,"KEYCORP",91576
598005,"THOMSON REUTERS PLC",1075124
597661,"MERRILL LYNCH & CO., INC.",65100
597661,"BANK OF AMERICA CORPORATION",70858
597661,"MERRILL LYNCH GROUP, INC.",1377846
594791,"SYMETRA FINANCIAL CORPORATION",1403385
598426,"AFFILIATED MANAGERS GROUP, INC.",1004434
599885,"BANCORPSOUTH, INC.",701853
600095,"LIVE NATION ENTERTAINMENT INC",1335258
595294,"GAMCO INVESTORS, INC.",1060349
600134,"BANK OF AMERICA CORPORATION",70858
598739,"COWEN AND COMPANY",48966
599538,"STIFEL FINANCIAL CORPORATION",720672
598707,"PRIMERICA, INC.",147592
600778,"AON CORPORATION",315293
600786,"ING GROEP NV",1039765
600819,"PROVIDENT NEW YORK BANCORP",1070154
591688,"GENWORTH FINANCIAL, INC.",1276520
600441,"BERTHEL FISHER & COMPANY FINANCIAL SERVICES, INC",8016222
598507,"BNP PARIBAS SA",872786
597738,"THE GOLDMAN SACHS GROUP,INC.",886982
601386,"AFFILIATED MANAGERS GROUP, INC.",1004434
601541,"BNP PARIBAS SA",872786
597962,"BANK OF MONTREAL",9622
592500,"BNP PARIBAS",872786
600605,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",67088
600605,"THE BANK OF TOKYO-MITSUBISHI UFJ, LTD.",852743
601554,"BB&T CORPORATION",92230
602583,"SLM CORPORATION",1032033
602816,"SLM CORPORATION",1032033
590745,"AEGON NV",769218
602897,"AEGON NV",769218
602010,"CIFC CORP.",1313918
602288,"DEUTSCHE BANK AG",948046
601170,"BANCO SANTANDER, S.A.",891478
604048,"BANK OF AMERICA CORPORATION",70858
600412,"OPPENHEIMER HOLDINGS INC.",791963
604169,"EATON VANCE CORP",350797
600189,"FUND.COM INC.",1335795
602623,"LEGG MASON, INC.",704051
604291,"BANK OF AMERICA CORPORATION",70858
604307,"BANK OF AMERICA CORPORATION",70858
602665,"LEGG MASON, INC.",704051
604479,"THE MCGRAW-HILL COMPANIES, INC.",64040
604523,"BERTHEL FISHER & COMPANY FINANCIAL SERVICES, INC",8016222
604677,"FIRST FINANCIAL HOLDINGS, INC.",570866076
600156,"SUSQUEHANNA BANCSHARES, INC.",700863
599938,"VIRTUS INVESTMENT PARTNERS, INC.",883237
598372,"COWEN GROUP, INC.",6211
600813,"FINANCIAL ENGINES, INC.",1430592
606094,"NATIONAL HOLDINGS CORPORATION",1023844
605569,"SUNTRUST BANKS, INC.",750556
606313,"U.S. BANCORP",36104
598876,"THE CHARLES SCHWAB CORPORATION",316709
594229,"EATON VANCE CORP.",350797
602323,"GENWORTH FINANCIAL, INC.",1276520
597371,"INVESCO LTD",914208
606003,"EATON VANCE CORP.",350797
599029,"THE ZIEGLER COMPANIES, INC",109312
606617,"LADENBURG THALMANN FINANCIAL SERVICES, INC.",1029730
606916,"LADENBURG THALMANN FINANCIAL SERVICES INC.",1029730
599637,"THE HARTFORD FINANCIAL SERVICES GROUP, INC.",874766
589330,"ROYAL BANK OF CANADA",352613
