"FilingID","Full Legal Name","CIK Number"
"1022570","THE CARLYLE GROUP L.P.","1527166"
"1022750","DEUTSCHE BANK AG","948046"
"1022941","TD AMERITRADE HOLDING CORPORATION","1173431"
"1022982","APOLLO GLOBAL MANAGEMENT, LLC","1411494"
"1022866","WELLS FARGO AND COMPANY","105598"
"1023010","RCS CAPITAL CORPORATION","1568832"
"1022619","THE BLACKSTONE GROUP L.P.","1393818"
"1023121","KOHLBERG KRAVIS ROBERTS & CO. L.P.","1399770"
"1022383","UMB FINANCIAL CORPORATION","101382"
"1023159","UMB FINANCIAL CORPORATION","101382"
"1022646","THE JONES FINANCIAL COMPANIES, L.L.L.P.","815917"
"1023274","THE GOLDMAN SACHS GROUP, INC.","886982"
"1023304","CREDIT SUISSE GROUP AG","1159510"
"1022633","THE GOLDMAN SACHS GROUP, INC.","886982"
"1020790","VOYA FINANCIAL, INC.","1535929"
"1019978","U.S. BANCORP","36104"
"1023211","THE BLACKSTONE GROUP L.P.","1393818"
"1022453","FEDERATED INVESTORS, INC.","1056288"
"1023566","RCS CAPITAL CORPORATION","1568832"
"1023537","AMERIPRISE FINANCIAL, INC.","820027"
"1023661","STIFEL FINANCIAL CORPORATION","720672"
"1023683","DEUTSCHE BANK AG","948046"
"1023166","UMB FINANCIAL CORPORATION","101382"
"1024001","AFFILIATED MANAGERS GROUP, INC.","1004434"
"1024014","AFFILIATED MANAGERS GROUP, INC.","1004434"
"1024045","CITIZENS FINANCIAL GROUP","759944"
"1024053","PRUDENTIAL FINANCIAL, INC.","1137774"
"1023772","PRUDENTIAL PLC","1116578"
"1024127","HORACE MANN EDUCATORS CORPORATION","850141"
"1024235","RCS CAPITAL CORPORATION","1568832"
"1024273","FORTRESS INVESTMENT GROUP LLC","1380393"
"1017835","ASSOCIATED BANC-CORP","7789"
"1024383","SUN LIFE FINANCIAL, INC.","1097362"
"1023533","FEDERATED INVESTORS, INC.","1056288"
"1024469","OPPENHEIMER HOLDINGS INC.","791963"
"1024644","KCAP FINANCIAL, INC.","1372807"
"1024619","STONEMOR PARTNERS L.P.","1286131"
"1024619","CORNERSTONE FAMILY SERVICES OF WEST VIRGINIA SUBSIDIARY, INC.","1488975"
"1024619","HENLOPEN MEMORIAL PARK SUBSIDIARY LLC","1488980"
"1024619","CORNERSTONE FAMILY SERVICES OF WEST VIRGINIA LLC","1489433"
"1024619","CEMETERY MANAGEMENT SERVICES, LLC","1489181"
"1024619","STOMEMORE OPERATING LLC","1488902"
"1024677","COWEN GROUP, INC.","1466538"
"1023133","NEW YORK MORTGAGE TRUST, INC.","1273685"
"1024443","OPPENHEIMER HOLDINGS INC.","791963"
"1023455","RAYMOND JAMES FINANCIAL, INC.","705"
"1024817","ROYAL BANK OF CANADA","1000275"
"1024914","MORGAN STANLEY","895421"
