"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
"973732","64209","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"973732","64209","MORGAN STANLEY & CO INTERNATIONAL PLC","","","LONDON","","United Kingdom","Y"
"973732","37168","HSBC BANK PLC","","","LONDON","","United Kingdom","Y"
"973732","37168","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"973732","37168","MORGAN STANLEY & CO LLC","","","NEW YORK","New York","United States","Y"
"973732","64209","BARCLAYS CAPITAL INC.","","","NEW YORK","New York","United States","Y"
"973732","37168","BARCLAYS CAPITAL INC.","","","NEW YORK","New York","United States","Y"
"973732","64209","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"973732","37168","CREDIT SUISSE SECURITIES (EUROPE) LIMITED","","","LONDON","","United Kingdom","Y"
"973732","64209","JP MORGAN SECURITIES PLC","","","LONDON","","United Kingdom","Y"
"973732","64209","HSBC BANK PLC","","","LONDON","","United Kingdom","Y"
"977531","169853","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"977531","169853","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"980698","45564","UBS SECURITIES LLC","8-22651","7654","NEW YORK","New York","United States","Y"
"985470","22678","INTERACTIVE BROKERS LLC","8-47257","36418","GREENWICH","Connecticut","United States","Y"
"985470","167481","NATIONAL FINANCIAL SERVICES LLC","8-26740","13041","BOSTON","Massachusetts","United States","Y"
"986229","171043","CONVERGEX PRIME SERVICES LLC","8-67289","140185","NEW YORK","New York","United States","Y"
"980239","2053","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"966629","8280","CREDIT SUISSE SECURITIES (USA) LLC","8-422","816","NEW YORK","New York","United States","Y"
"966629","8280","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"992716","73979","PERSHING LLC","8-17574","7560","JERSEY CITY","New Jersey","United States","Y"
