"FilingID","ReferenceID","Private Fund Name","Fund ID"
1028423,57016,"FCI CO-INVESTORS II (A), L.P.",805-2612648483
1028423,176253,"APOLLO TOTAL RETURN FUND ENHANCED (OFFSHORE) LTD.",805-1014977492
1028423,174966,"APOLLO EMERGING MARKETS DEBT FUND LP",805-9854115783
1028423,174966,"APOLLO EMERGING MARKETS DEBT FUND LTD",805-5970208120
1028423,176310,"APOLLO OFFSHORE STRUCTURED CREDIT RECOVERY FUND III LTD.",805-8360445961
1028423,176310,"APOLLO STRUCTURED CREDIT RECOVERY FUND III LP",805-7211862920
1028423,176264,"FCI CO-INVESTORS III (A), L.P.",805-7658306247
1028423,176253,"APOLLO TOTAL RETURN FUND ENHANCED (ONSHORE) LP",805-4661826861
1028423,48775,"FCI CO-INVESTORS I (B), L.P.",805-1888188264
1028423,45114,"APOLLO OFFSHORE STRUCTURED CREDIT RECOVERY FUND II LTD.",805-7821695060
1028423,41556,"APOLLO EPF CO-INVESTORS (A), L.P.",805-5374664389
1028423,41217,"APOLLO EUROPEAN PRINCIPAL FINANCE FUND II (EURO B), L.P.",805-8088703452
1028423,41212,"APOLLO EUROPEAN PRINCIPAL FINANCE FUND II (DOLLAR B), L.P.",805-8079572790
1028423,57016,"FINANCIAL CREDIT INVESTMENT II (FEEDER) , L.P.",805-6219855117
1028423,77581,"APOLLO OFFSHORE ENERGY OPPORTUNITY FUND LTD.",805-2648901424
1028423,62704,"APOLLO CREDIT SHORT OPPORTUNITIES FUND (ONSHORE), L.P.",805-4129998318
1028423,62704,"APOLLO CREDIT SHORT OPPORTUNITIES FUND (OFFSHORE), LTD.",805-5675329067
1028423,52368,"APOLLO ASIA PRIVATE CREDIT FUND, L.P.",805-1949833485
1028423,41674,"APOLLO STRATEGIC VALUE FUND, L.P.",805-3268912089
1028423,41556,"APOLLO EUROPEAN PRINCIPAL FINANCE FUND (FEEDER), L.P.",805-6562530741
1028423,41538,"APOLLO EUROPEAN CREDIT FUND, L.P.",805-1560426100
1028423,41458,"APOLLO CREDIT SENIOR LOAN FEEDER, L.P.",805-4112268710
1028423,41538,"APOLLO EUROPEAN CREDIT FUND (OFFSHORE), L.P.",805-6294012327
1035505,45187,"MOUNT YALE PRIVATE EQUITY OFFSHORE FUND, LP",805-4741497447
1035505,45192,"MOUNT YALE PRIVATE EQUITY FUND, LP",805-9841578905
1038039,11302,"TPG CREDIT OPPORTUNITIES FUND (CAYMAN) LTD.",805-2515002193
1038470,11302,"TPG CREDIT OPPORTUNITIES FUND (CAYMAN) LTD.",805-2515002193
1038472,50433,"ALTAIR GLOBAL CREDIT OPPORTUNITIES FUND (C), LTD",805-6199089210
1037437,170402,"SRS LONG OPPORTUNITIES, LTD.",805-7610840937
1037437,170402,"SRS LONG OPPORTUNITIES US, LP",805-5306668661
1037437,11520,"SRS PARTNERS, LTD.",805-7408874075
1037437,11474,"SRS PRIVATE INVESTMENTS, L.P.",805-2003333921
1037437,11474,"SRS PRIVATE INVESTMENTS US, LP",805-2295077501
1038591,11302,"TPG CREDIT OPPORTUNITIES FUND (CAYMAN) LTD.",805-2515002193
1035310,24708,"TPG-AXON PARTNERS (OFFSHORE), LTD",805-4202969963
1035310,177848,"AXON JAPAN OPPORTUNITIES FUND (OFFSHORE), LTD.",805-8855672256
1035310,177848,"AXON JAPAN OPPORTUNITIES FUND, LP",805-9278981776
1032418,7506,"WISHBONE INTERNATIONAL PARTNERS, LTD.",805-6899244302
1032418,7506,"WISHBONE PARTNERS, LP",805-1830742689
1031208,40233,"WESTERN ASSET GLOBAL MULTI-SECTOR LTD",805-8275929676
1031208,40029,"WESTERN ASSET GLOBAL SOVEREIGNQ FIXED INCOME LLC",805-1038153241
1031208,40026,"WESTERN ASSET STRATEGIC US$ HIGH YIELD PORTFOLIO LTD",805-2610749204
1031208,40019,"WESTERN ASSET MANAGED CURRENCY LLC",805-3266528572
1031208,40013,"WESTERN ASSET EMERGING MARKETS CORPORATE CREDIT PORTFOLIO LTD",805-9357840359
1031208,40008,"WESTERN ASSET GLOBAL SOVEREIGN FIXED INCOME LLC",805-5724122135
1031208,39949,"WESTERN ASSET OPPORTUNISTIC STRUCTURED SECURITIES PORTFOLIO LTD",805-3372896940
1031208,39948,"WA OPPORTUNISTIC ASIAN SECURITIES PORTFOLIO LTD",805-5245526289
1031208,39943,"WESTERN ASSET EMERGING MARKETS LOCAL DEBT PORTFOLIO LTD",805-8453694080
1031208,39907,"WESTERN ASSET US CORE PLUS PORTFOLIO LTD",805-3688130935
1031208,39913,"WESTERN ASSET MORTGAGE BACKED SECURITIES PORTFOLIO LTD",805-5264565945
1031208,39926,"WESTERN ASSET US LONG DURATION PORTFOLIO LTD",805-6660134593
1031208,39893,"WESTERN ASSET FLOATING RATE HIGH INCOME FUND LTD",805-1902734839
1031208,39878,"WESTERN ASSET OPPORTUNISTIC INTERNATIONAL INVESTMENT GRADE SECURITIES PORTFOLIO LTD",805-3977383873
1031208,39870,"WESTERN ASSET OPPORTUNISTIC US$ HIGH YIELD SECURITIES PORTFOLIO LTD",805-2312954647
1031208,38425,"WESTERN ASSET TOTAL RETURN UNCONSTRAINED (TRU) BOND FUND LTD.",805-2383522161
1031208,46594,"WESTERN ASSET DYNAMIC FIXED INCOME PORTFOLIO, LLC",805-2814746638
1031208,46589,"WESTERN ASSET OPPORTUNISTIC EMERGING MARKETS PORTFOLIO, LLC",805-1467465477
1031208,44770,"WESTERN ASSET SHORT-DATED HIGH YIELD PORTFOLIO LLC",805-7096180627
1031208,44770,"WESTERN ASSET SHORT-DATED HIGH YEILD PORTFOLIO LTD",805-6544052401
1031208,44850,"WESTERN ASSET MACRO OPPORTUNITIES PORTFOLIO LTD",805-7274443104
1031208,38425,"WESTERN ASSET TOTAL RETURN UNCONSTRAINED (TRU) BOND FUND LLC.",805-8178974996
1031208,40257,"WESTERN ASSET OPPORTUNISTIC VALUE PORTFOLIO LLC",805-1340696392
1030062,178649,"PRECOCITY FUND LP",805-8360520297
1030062,178649,"PRECOCITY OFFSHORE FUND LTD.",805-1062361773
1033116,173533,"CARDINAL ADVISOR SERIES-INTERNATIONAL GROWTH EQUITY LTD",805-5762263001
1033116,173570,"CARDINAL ADVISOR SERIES- INTERNATIONAL VALUE EQUITY L.P.",805-4005925210
1033116,173570,"CARDINAL ADVISOR SERIES-INTERNATIONAL VALUE EQUITY LTD",805-2753815875
1033116,173580,"CARDINAL ADVISOR SERIES- LOCAL CURRENCY EMERGING MARKET DEBT FUND L.P.",805-7292557069
1033116,173580,"CARDINAL ADVISOR SERIES-LOCAL CURRENCY EMERGING MARKET DEBT FUND LTD",805-6561528679
1033116,173595,"CARDINAL ADVISOR SERIES-STRATEGIC COMMODITIES FUND L.P.",805-4246066296
1033116,173595,"CARDINAL ADVISOR SERIES-STRATEGIC COMMODITIES FUND LTD",805-4150408350
1033116,173533,"CARDINAL ADVISOR SERIES- INTERNATIONAL GROWTH EQUITY L.P.",805-7360862783
1031547,29060,"OSPRAIE SPECIAL OPPORTUNITIES (OFFSHORE) LTD.",805-6213799065
1031547,29060,"OSPRAIE SPECIAL OPPORTUNITIES L.P.",805-2234579991
1031547,26221,"OSPRAIE SPECIAL OPPORTUNITIES (OFFSHORE) LTD.",805-6213799065
1031547,26221,"OSPRAIE SPECIAL OPPORTUNITIES LP",805-2234579991
1031528,178570,"PANDION FUND I FEEDER, L.P.",805-3230392558
1032949,168575,"MOERUS GLOBAL VALUE FUND LP",805-7017383137
1032949,168575,"MOERUS GLOBAL VALUE FUND (CAYMAN) LTD",805-2125295943
1034540,168059,"EJF SIDECAR FUND OFFSHORE (E) LTD",805-5896140826
1034540,20947,"EJF OPPORTUNITY FUND, LP",805-5029760724
1034540,48818,"EJF FINANCIAL OPPORTUNITIES OFFSHORE FUND, LTD.",805-3587234123
1034540,10087,"EJF FINANCIAL SERVICES OFFSHORE FUND, LTD",805-5744889408
1034540,166835,"EJF TRUPS FUND LP",805-4690123787
1034540,166835,"EJF TRUPS OFFSHORE FUND LTD",805-6075506492
1034540,68341,"BELTWAY DIRECT OPPORTUNITY FUND LTD",805-5980524141
1034540,11469,"EJF GREATER CHINA FUND, LP",805-8821676432
1034540,66251,"EJF CONCENTRATED FINANCIAL OPPORTUNITIES OFFSHORE FUND, LTD",805-5365908409
1034540,64038,"BELTWAY STRATEGIC OPPORTUNITIES FUND LTD",805-4613308903
1034540,7592,"EJF DEBT OPPORTUNITIES OFFSHORE FUND, LTD.",805-7104232297
1034540,7592,"EJF DEBT OPPORTUNITIES FUND, LP",805-3365030290
1034540,7607,"EJF SELECT OFFSHORE FUND, LTD",805-8786225694
1034540,7607,"EJF SELECT FUND, LP",805-6331946508
1034540,11523,"EJF DEBT OPPORTUNITIES FUND II, LTD",805-5207757772
1034540,20947,"EJF OPPORTUNITY OFFSHORE FUND, LTD",805-3960529717
1034540,11469,"EJF GREATER CHINA FUND, LTD",805-6274917346
1034598,68040,"CROW HOLDINGS REALTY PARTNERS INVESTOR VII-B, L.P.",805-2501194845
1034598,39916,"CHCP VALUE FUND (OFFSHORE), L.P.",805-4668982244
1033037,177248,"J.H. LANE PARTNERS OFFSHORE FUND, LTD.",805-1074087892
1033037,177248,"J.H. LANE PARTNERS FUND, LP",805-3668429744
1017216,62700,"FORTELUS SPECIAL SITUATIONS FUND LP",805-3608075846
1017216,62700,"FORTELUS SPECIAL SITUATIONS FUND LIMITED",805-1065547725
1032749,47343,"ARGENTIERE FUND LTD",805-4246056199
1032749,47343,"ARGENTIERE FUND LP",805-1589949615
1032749,47343,"ARGENTIERE ENHANCED FUND LTD",805-9256118315
1032749,47343,"ARGENTIERE ENHANCED FUND LP",805-4741514628
1035481,45187,"MOUNT YALE PRIVATE EQUITY OFFSHORE FUND, LP",805-4741497447
1035481,45192,"MOUNT YALE PRIVATE EQUITY FUND, LP",805-9841578905
1035191,68568,"COACHMAN ENERGY VII ONSHORE FEEDER FUND, L.P.",805-5519206963
1035191,68568,"COACHMAN ENERGY VII MEMBER LLC",805-1851029703
1035942,63905,"GATOR FINANCIAL PARTNERS OFFSHORE, LTD.",805-2268977054
1034290,179036,"SANKATY CREDIT OPPORTUNITIES FUND VI-EU, L.P.",805-1995444189
1034290,24951,"SANKATY CREDIT OPPORTUNITIES (OFFSHORE PLAN ASSETS) II, L.P.",805-9675112754
1034290,60440,"SANKATY MIDDLE MARKET OPPORTUNITIES FUND II-A, L.P.",805-3598603877
1034290,25134,"SANKATY MIDDLE MARKET OPPORTUNITIES FUND (OFFSHORE), L.P.",805-6382102231
1034290,25107,"SANKATY HIGH INCOME FEEDER, LTD.",805-9372735182
1034290,24951,"SANKATY CREDIT OPPORTUNITIES (OFFSHORE) II, L.P.",805-2897418329
1034290,55583,"SANKATY CLO PARTNERS FEEDER, L.P.",805-3731063752
1034290,24828,"SANKATY BEACON INVESTMENT PARTNERS II (PLAN ASSETS), L.P.",805-9636335051
1034290,24988,"SANKATY CREDIT OPPORTUNITIES (OFFSHORE PLAN ASSETS) III, L.P.",805-2225483974
1034290,24988,"SANKATY CREDIT OPPORTUNITIES (OFFSHORE) III, L.P.",805-5640337072
1034290,25022,"SANKATY CREDIT OPPORTUNITIES (OFFSHORE) IV, L.P.",805-7643957082
1034290,24828,"SANKATY BEACON INVESTMENT PARTNERS II, L.P.",805-1394696192
1034290,52183,"PROSPECT HARBOR DESIGNATED INVESTMENTS (OFFSHORE), LTD.",805-3598026117
1034290,24915,"SANKATY CREDIT OPPORTUNITIES (OFFSHORE PLAN ASSETS) I, L.P.",805-9827620110
