"FilingID","ReferenceID","SubreferenceID","Foreign  
Regulatory Authority"
"895511","54491","13754","Cayman Islands - Cayman Islands Monetary Authority"
"882143","9319","2346","British Virgin Islands - British Virgin Islands Financial Services Commission"
"884598","50115","9313","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"884598","45329","8152","Cayman Islands - Cayman Islands Monetary Authority"
"884598","45329","8153","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"884598","50115","14150","Cayman Islands - Cayman Islands Monetary Authority"
"878048","65752","13428","Cayman Islands - Cayman Islands Monetary Authority"
"879089","45733","8257","Cayman Islands - Cayman Islands Monetary Authority"
"890216","25753","9734","Cayman Islands - Cayman Islands Stock Exchange Authority"
"891679","48319","9786","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"891679","50923","10022","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"891679","48319","12244","Cayman Islands - Cayman Islands Monetary Authority"
"887029","64494","13085","Cayman Islands - Cayman Islands Monetary Authority"
"892626","25163","4656","Other  
- CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
"888917","58818","11858","Cayman Islands - Cayman Islands Monetary Authority"
"888917","58820","11859","Cayman Islands - Cayman Islands Monetary Authority"
"888917","17734","9151","Cayman Islands - Cayman Islands Monetary Authority"
"888917","70238","14364","Cayman Islands - Cayman Islands Monetary Authority"
"885183","43266","8355","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"885183","50864","9735","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"884438","21456","4143","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"884438","21456","4144","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"884438","21570","4174","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"884438","21570","4175","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"892666","56819","11296","Cayman Islands - Cayman Islands Monetary Authority"
"891244","47235","8614","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"895767","28595","5264","Other  
- CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
"884744","5660","2069","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"890648","55354","10913","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"890648","62482","12688","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"887815","21599","4184","Cayman Islands - Cayman Islands Monetary Authority"
"887815","59593","12033","Cayman Islands - Cayman Islands Monetary Authority"
"877571","49613","9154","Ireland -  Central Bank of Ireland"
"885177","50748","43364","France - Financial Markets Authority"
"885177","50748","43364","Germany - German Federal Financial Supervisory Agency"
"885177","50748","43364","Ireland -  Central Bank of Ireland"
"885177","50748","43364","United Kingdom - Financial Conduct Authority"
"885177","50748","43364","Netherlands - The Netherlands Authority for the Financial Markets"
"885177","50748","43364","Belgium - Banking, Finance and Insurance Commission"
"885177","50748","43364","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"885177","50748","43364","Denmark - Danish Financial Supervisory Authority"
"885177","50748","43364","Sweden - Swedish Financial Supervisory Authority"
"885177","50748","43364","Finland - Financial Supervision Authority"
"885177","50748","43364","Italy - National Stock Exchange Commission"
"885177","50748","43364","Spain - National Commission of Securities Markets"
"885177","50748","43364","Norway - The Banking, Insurance and Securities Commission"
"885177","74112","43366","France - Financial Markets Authority"
"885177","74112","43366","Germany - German Federal Financial Supervisory Agency"
"885177","74112","43366","Ireland -  Central Bank of Ireland"
"885177","74112","43366","United Kingdom - Financial Conduct Authority"
"885177","74112","43366","Netherlands - The Netherlands Authority for the Financial Markets"
"885177","74112","43366","Belgium - Banking, Finance and Insurance Commission"
"885177","74112","43366","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"885177","74112","43366","Denmark - Danish Financial Supervisory Authority"
"885177","74112","43366","Sweden - Swedish Financial Supervisory Authority"
"885177","74112","43366","Finland - Financial Supervision Authority"
"885177","74112","43366","Italy - National Stock Exchange Commission"
"885177","74112","43366","Spain - National Commission of Securities Markets"
"885177","74112","43366","Norway - The Banking, Insurance and Securities Commission"
"885177","74112","43366","Singapore - Monetary Authority of Singapore"
"885177","74112","43367","France - Financial Markets Authority"
"885177","74112","43367","Germany - German Federal Financial Supervisory Agency"
"885177","74112","43367","Ireland -  Central Bank of Ireland"
"885177","74112","43367","United Kingdom - Financial Conduct Authority"
"885177","74112","43367","Netherlands - The Netherlands Authority for the Financial Markets"
"885177","74112","43367","Belgium - Banking, Finance and Insurance Commission"
"885177","74112","43367","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"885177","74112","43367","Denmark - Danish Financial Supervisory Authority"
"885177","74112","43367","Sweden - Swedish Financial Supervisory Authority"
"885177","74112","43367","Finland - Financial Supervision Authority"
"885177","74112","43367","Spain - National Commission of Securities Markets"
"885177","74112","43367","Norway - The Banking, Insurance and Securities Commission"
"885177","74112","43368","France - Financial Markets Authority"
"885177","74112","43368","Germany - German Federal Financial Supervisory Agency"
"885177","74112","43368","Ireland -  Central Bank of Ireland"
"885177","74112","43368","United Kingdom - Financial Conduct Authority"
"885177","74112","43368","Netherlands - The Netherlands Authority for the Financial Markets"
"885177","74112","43368","Belgium - Banking, Finance and Insurance Commission"
"885177","74112","43368","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"885177","74112","43368","Denmark - Danish Financial Supervisory Authority"
"885177","74112","43368","Sweden - Swedish Financial Supervisory Authority"
"885177","74112","43368","Finland - Financial Supervision Authority"
"885177","74112","43368","Italy - National Stock Exchange Commission"
"885177","74112","43368","Spain - National Commission of Securities Markets"
"885177","74112","43368","Norway - The Banking, Insurance and Securities Commission"
"885177","74112","43369","France - Financial Markets Authority"
"885177","74112","43369","Germany - German Federal Financial Supervisory Agency"
"885177","74112","43369","Ireland -  Central Bank of Ireland"
"885177","74112","43369","United Kingdom - Financial Conduct Authority"
"885177","74112","43369","Netherlands - The Netherlands Authority for the Financial Markets"
"885177","74112","43369","Belgium - Banking, Finance and Insurance Commission"
"885177","74112","43369","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"885177","74112","43369","Denmark - Danish Financial Supervisory Authority"
"885177","74112","43369","Sweden - Swedish Financial Supervisory Authority"
"885177","74112","43369","Finland - Financial Supervision Authority"
"885177","74112","43369","Italy - National Stock Exchange Commission"
"885177","74112","43369","Spain - National Commission of Securities Markets"
"885177","74112","43369","Norway - The Banking, Insurance and Securities Commission"
"885177","13705","6472","Singapore - Monetary Authority of Singapore"
"885177","13705","6459","Japan - Financial Services Agency"
"885179","7192","6255","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"885179","50248","9333","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"885179","7082","6108","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"885179","7082","6108","Other  
- KOREA- FINANCIAL SUPERVISORY SERVICE"
"885179","7082","6108","Singapore - Monetary Authority of Singapore"
"885179","7086","6116","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"885179","7201","6266","Other  
- KOREA- FINANCIAL SUPERVISORY SERVICE"
"885179","7201","6266","Other  
- CAYMAN ISLANDS MOMETARY AUTHORITY"
