"FilingID","Wrap Fee Program","Sponsor"
"861187","UNIFIED OVERLAY MANAGEMENT PROGRAM","FDX ADVISORS, INC."
"861187","INDIVIDUALLY MANAGED ACCOUNT PROGRAM","PLACEMARK INVESTMENTS, INC."
"861187","MASTERS INVESTMENT CONSULTING SERVICES","WELLS FARGO ADVISORS, LLC"
"861187","DIVERSIFIED MANAGED ALLOCATIONS PROGRAM","WELLS FARGO ADVISORS, LLC"
"861187","MULTI-MANAGER PROGRAM","ENVESTNET PMC, INC."
"861187","PORTFOLIO MANAGER PROGRAM","CHASE INVESTMENT SERVICES CORP."
"861187","NAVIGATOR PROGRAM","J.P. MORGAN SECURITIES LLC"
"861187","J.P. MORGAN SECURITIES STRATIS PROGRAM (STRATEGIC INVESTMENT SERVICES)","J.P. MORGAN SECURITIES LLC"
"861187","ADHESION MANAGED ACCOUNTS PLATFORM","ADHESION WEALTH ADVISOR SOLUTIONS INC."
"861187","MANAGED ACCOUNT ADVISORS LLC","MERRILL LYNCH INVESTMENT ADVISORY PROGRAM"
"891359","ATHENA WRAP PROGRAM","ATHENA WEALTH MANAGEMENT, LLC"
"890175","WEALTHSOURCE I","ONEIDA WEALTH MANAGEMENT INC."
"890175","WEALTHSOURCE II","ONEIDA WEALTH MANAGEMENT INC."
"890175","PILOT PROGRAM","ONEIDA WEALTH MANAGEMENT, INC."
"891791","RILEY WEALTH MANAGEMENT, LLC WRAP FEE PROGRAM","RILEY WEALTH MANAGEMENT LLC"
"890051","ADVISORY SERVICES PROGRAM","CONCORD EQUITY (TPV) THIRD PARTY VENDOR WHOLLY OWNED BY LPL FINANCIAL"
"890051","JANNEY MANAGED MONEY SERVICES","JANNEY MONTGOMERY SCOTT"
"890051","MANAGED ACCOUNT ACCESS PROGRAM, MARKETPLACE","CHARLES SCHWAB"
"890051","UNIFIED MANAGED ACCOUNT (UMA)","DA DAVIDSON"
"890051","MANAGED ACCOUNT PROGRAM","EDWARD JONES"
"890051","INVESTMENT CONSULTING SERVICES (ICS)","JP MORGAN SECURITIES"
"890051","ADVISER SELECT","DEUTSCHE BANK ALEX BROWN"
"890051","ACCESS, STRATEGIC WEALTH PORTFOLIOS (SWP), MANAGED ACCOUNTS CONSULTING (MAC)","UBS"
"890051","STIFEL OPPORTUNITY PROGRAM","STIFEL NICOLAUS"
"890051","MANAGED ACCOUNT COMMAND (MAC) BONY, PERSHING ADVISOR SOLUTIONS (PAS), DUAL CONTRACT, MANAGED ACCOUNT ADVISOR (MAA), SMA PROGRAM","LOCKWOOD (TPV) THIRD PARTY VENDOR"
"890051","CONSULTS MANAGED ACCOUNT ADVISOR (MAA), SPA CONSULTS, MERRILL ONE","MERRILL LYNCH A WHOLLY OWNED SUBSIDIARY OF BANK OF AMERICA"
"890051","INVESTMENT ADVISORY SERVICE ACCOUNTS","RAYMOND JAMES"
"890051","UNIFIED MANAGED ACCOUNT (UMA)","OPPENHEIMER"
"890051","CONSULTING EVALUATION SERVICES(CES), SELECT UMA,FIDUCIARY SERVICES(FS),INVESTMENT MANAGEMENT SERVICES(IMS)","MORGAN STANLEY SMITH BARNEY"
"890051","SEPARATELY MANAGED ACCOUNTS (SMA)","ENVESTNET (TPV) THIRD PARTY VENDOR"
"890051","MANAGER SELECT, MANAGER ACCESS SELECT-LPL ADVISORY","LPL FINANCIAL"
"890051","MASTERS,PRIVATE ACCOUNT NETWORK (PAN), DMA DIVERSIFIED MANAGED ACCOUNTS, WELLS FARGO WEALTH MANAGEMENT","WELLS FARGO ADVISORS"
"890051","INVESTMENT CONSULTING SERVICES","WOOD GUNDY CIBC"
"890051","CONSULTING SOLUTIONS","RBC WEALTH MANAGEMENT"
"890051","LINCSOLUTIONS, PROFESSIONAL MANAGED ACCOUNT PROGRAM, UNIFIED MANAGED ACCOUNT PROGRAM","FOLIO DYNAMICS(FDXA) THIRD PARTY VENDOR (TPV)"
"890051","SELECT","WILLIAM BLAIR"
"890051","SELECT SEPARATE ACCOUNT PROGRAM","AMERIPRISE FINANCIAL SERVICES"
"890051","REFERRED MANAGERS PROGRAM","RW BAIRD"
"890051","CSFB PREFERRED ADVISOR PROGRAM, MANAGED ACCOUNT LINKED (MAL), PERSIST GLOBAL WEALTH MANAGEMENT BV (MAC)","LOCKWOOD (TPV) THIRD PARTY VENDOR"
"890051","SEPARATE ACCOUNT EXCHANGE","TD AMERITRADE INSTITUTIONAL"
