"FilingID","Country/Authority"
"896040","Canada - Quebec, Financial Markets Authority"
"872790","United Kingdom - Financial Conduct Authority"
"866090","Canada - Ontario Securities Commission"
"866090","Canada - Alberta Securities Commission"
"866090","Canada - Saskatchewan Financial Services Commission"
"866090","Canada - Manitoba Securities Commission"
"866090","Canada - British Columbia Securities Commission"
"866090","Canada - Quebec, Financial Markets Authority"
"866090","Canada - New Brunswick Securities Commission"
"874847","Ireland -  Central Bank of Ireland"
"900308","Switzerland - Swiss Financial Market Supervisory Authority"
"874994","Ireland -  Central Bank of Ireland"
"879271","United Kingdom - Financial Conduct Authority"
"874197","Ireland -  Central Bank of Ireland"
"886543","India - Securities and Exchange Board of India"
"885757","Canada - New Brunswick Securities Commission"
"885757","Canada - Quebec, Financial Markets Authority"
"885757","Canada - Nova Scotia Securities Commission"
"885757","Canada - Ontario Securities Commission"
"885757","Canada - Alberta Securities Commission"
"885757","Canada - British Columbia Securities Commission"
"873073","Other: NETHERLANDS - DE NEDERLANDSCHE BANK"
"884228","India - Securities and Exchange Board of India"
"868171","Ireland -  Central Bank of Ireland"
"885749","Canada - Ontario Securities Commission"
"885749","Taiwan - Financial Supervisory Commission"
"885749","India - Securities and Exchange Board of India"
"885749","Ireland -  Central Bank of Ireland"
